Facilities,Amount,Comments,Sentiment
Reservation,6087,"Disappointing stay, a total waste of money.",Negative
Event,12933,"It was an okay stay, average service overall.",Neutral
Reservation,9993,The facilities are fine but could be better.,Neutral
Entrance,16078,Medyo okay naman ang experience namin.,Neutral
Event,6343,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,5388,Madumi yung area nung dumating kami.,Negative
Event,24347,Great value for money and a relaxing vibe.,Positive
Event,6514,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,15452,Good location but service was just standard.,Neutral
Room,26964,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,8044,Good location but service was just standard.,Neutral
Event,4431,"Disappointing stay, a total waste of money.",Negative
Room,14144,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,17040,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,22126,Sulit na sulit ang booking namin.,Positive
Hall Rental,24374,Mabait at magalang ang mga staff dito.,Positive
Reservation,3158,"Terrible and awful experience, would not go back.",Negative
Room,18342,Sulit na sulit ang booking namin.,Positive
Reservation,13818,"The room was decent and normal, nothing special.",Neutral
Reservation,21185,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,3301,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,9242,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,16281,The facilities are fine but could be better.,Neutral
Entrance,4964,The water was cloudy and the area was messy.,Negative
Room,25258,Walang kupas ang ganda ng pool area.,Positive
Entrance,27734,"Beautiful view and very friendly, helpful staff.",Positive
Room,24996,Sulit na sulit ang booking namin.,Positive
Entrance,11554,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,3322,"Disappointing stay, a total waste of money.",Negative
Entrance,16202,Sulit na sulit ang booking namin.,Positive
Entrance,3706,Madumi yung area nung dumating kami.,Negative
Reservation,10123,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,18812,Mabait at magalang ang mga staff dito.,Positive
Event,16676,"Standard amenities, fine experience for the price.",Neutral
Room,23967,"Excellent facility, highly recommend to everyone!",Positive
Reservation,14968,Good location but service was just standard.,Neutral
Reservation,19356,Great value for money and a relaxing vibe.,Positive
Entrance,5250,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,4371,Rude staff and very slow service at reception.,Negative
Reservation,14782,"It was an okay stay, average service overall.",Neutral
Entrance,16182,Medyo okay naman ang experience namin.,Neutral
Entrance,24539,"Beautiful view and very friendly, helpful staff.",Positive
Hall Rental,4686,"Terrible and awful experience, would not go back.",Negative
Room,4833,Madumi yung area nung dumating kami.,Negative
Hall Rental,10849,Good location but service was just standard.,Neutral
Reservation,8085,The water was cloudy and the area was messy.,Negative
Reservation,7398,Rude staff and very slow service at reception.,Negative
Entrance,27289,The service was perfect and absolutely amazing.,Positive
Room,10658,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,26769,"Beautiful view and very friendly, helpful staff.",Positive
Event,22734,"Everything was superb, clean, and well-maintained.",Positive
Event,8739,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,15605,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,15094,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,29207,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,26344,Walang kupas ang ganda ng pool area.,Positive
Reservation,24823,"Excellent facility, highly recommend to everyone!",Positive
Room,8819,"Disappointing stay, a total waste of money.",Negative
Hall Rental,24476,"Everything was superb, clean, and well-maintained.",Positive
Room,8230,"Terrible and awful experience, would not go back.",Negative
Hall Rental,22992,"Beautiful view and very friendly, helpful staff.",Positive
Event,13330,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,17615,"The room was decent and normal, nothing special.",Neutral
Room,7356,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,19944,Sulit na sulit ang booking namin.,Positive
Event,10541,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,8242,"It was an okay stay, average service overall.",Neutral
Entrance,28323,"Beautiful view and very friendly, helpful staff.",Positive
Room,21230,The service was perfect and absolutely amazing.,Positive
Event,27287,"Excellent facility, highly recommend to everyone!",Positive
Event,17782,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,20109,The service was perfect and absolutely amazing.,Positive
Event,8112,"It was an okay stay, average service overall.",Neutral
Hall Rental,10786,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,4258,"Terrible and awful experience, would not go back.",Negative
Reservation,16633,The service was perfect and absolutely amazing.,Positive
Reservation,8689,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,19616,"Excellent facility, highly recommend to everyone!",Positive
Event,18124,Walang kupas ang ganda ng pool area.,Positive
Entrance,8717,"Standard amenities, fine experience for the price.",Neutral
Hall Rental,2446,"Terrible and awful experience, would not go back.",Negative
Reservation,12776,Good location but service was just standard.,Neutral
Hall Rental,4121,"Terrible and awful experience, would not go back.",Negative
Entrance,21371,Sulit na sulit ang booking namin.,Positive
Event,11744,Good location but service was just standard.,Neutral
Event,10832,Good location but service was just standard.,Neutral
Room,14771,The facilities are fine but could be better.,Neutral
Hall Rental,7993,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,19837,Mabait at magalang ang mga staff dito.,Positive
Room,23433,"Excellent facility, highly recommend to everyone!",Positive
Reservation,9777,Rude staff and very slow service at reception.,Negative
Room,17388,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,10217,Hindi gaanong special pero okay naman yung stay.,Neutral
Event,2804,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,4172,"Disappointing stay, a total waste of money.",Negative
Hall Rental,6252,Madumi yung area nung dumating kami.,Negative
Hall Rental,7325,"Disappointing stay, a total waste of money.",Negative
Entrance,8277,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,8238,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,11240,Medyo okay naman ang experience namin.,Neutral
Room,2771,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,22673,"Excellent facility, highly recommend to everyone!",Positive
Room,8890,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,2024,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,8085,"Disappointing stay, a total waste of money.",Negative
Event,23808,"Beautiful view and very friendly, helpful staff.",Positive
Room,15982,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,12942,Good location but service was just standard.,Neutral
Event,16003,"The room was decent and normal, nothing special.",Neutral
Event,20423,"Excellent facility, highly recommend to everyone!",Positive
Entrance,6225,Madumi yung area nung dumating kami.,Negative
Entrance,7662,"Terrible and awful experience, would not go back.",Negative
Entrance,25380,"Excellent facility, highly recommend to everyone!",Positive
Entrance,4008,Madumi yung area nung dumating kami.,Negative
Room,25161,"Everything was superb, clean, and well-maintained.",Positive
Reservation,12888,Medyo okay naman ang experience namin.,Neutral
Event,29640,Mabait at magalang ang mga staff dito.,Positive
Event,8160,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,15850,"The room was decent and normal, nothing special.",Neutral
Reservation,6675,Mabagal ang serbisyo at medyo disappointing.,Negative
Room,26657,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,16799,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,7204,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,18591,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,15094,"Beautiful view and very friendly, helpful staff.",Positive
Room,16711,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,17171,Medyo okay naman ang experience namin.,Neutral
Entrance,10179,Good location but service was just standard.,Neutral
Room,24496,Sulit na sulit ang booking namin.,Positive
Event,15004,"Everything was superb, clean, and well-maintained.",Positive
Reservation,16246,The service was perfect and absolutely amazing.,Positive
Hall Rental,9094,"Disappointing stay, a total waste of money.",Negative
Hall Rental,7157,"Disappointing stay, a total waste of money.",Negative
Entrance,5739,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,4511,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,5636,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,16021,"Excellent facility, highly recommend to everyone!",Positive
Room,24903,"Everything was superb, clean, and well-maintained.",Positive
Entrance,29486,"Excellent facility, highly recommend to everyone!",Positive
Event,13793,"It was an okay stay, average service overall.",Neutral
Room,7819,Hindi kami nasiyahan sa aming stay dito.,Negative
Event,16448,Medyo okay naman ang experience namin.,Neutral
Hall Rental,2437,The water was cloudy and the area was messy.,Negative
Room,3417,"Terrible and awful experience, would not go back.",Negative
Entrance,3819,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,9016,"Disappointing stay, a total waste of money.",Negative
Event,9749,Medyo okay naman ang experience namin.,Neutral
Hall Rental,8666,The water was cloudy and the area was messy.,Negative
Hall Rental,6228,"Disappointing stay, a total waste of money.",Negative
Reservation,14579,The facilities are fine but could be better.,Neutral
Entrance,12586,The facilities are fine but could be better.,Neutral
Room,9435,The water was cloudy and the area was messy.,Negative
Room,20104,"Excellent facility, highly recommend to everyone!",Positive
Reservation,22186,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,9384,The facilities are fine but could be better.,Neutral
Reservation,8924,"Terrible and awful experience, would not go back.",Negative
Entrance,6576,Rude staff and very slow service at reception.,Negative
Room,17079,Mabait at magalang ang mga staff dito.,Positive
Event,17171,"The room was decent and normal, nothing special.",Neutral
Entrance,14033,Good location but service was just standard.,Neutral
Reservation,7629,Rude staff and very slow service at reception.,Negative
Hall Rental,15392,Medyo okay naman ang experience namin.,Neutral
Event,3025,Madumi yung area nung dumating kami.,Negative
Room,6109,Hindi kami nasiyahan sa aming stay dito.,Negative
Hall Rental,16528,Walang kupas ang ganda ng pool area.,Positive
Room,14614,"It was an okay stay, average service overall.",Neutral
Room,22035,"Excellent facility, highly recommend to everyone!",Positive
Hall Rental,21269,Great value for money and a relaxing vibe.,Positive
Event,4194,Madumi yung area nung dumating kami.,Negative
Room,26276,The service was perfect and absolutely amazing.,Positive
Event,5665,The water was cloudy and the area was messy.,Negative
Event,13488,Medyo okay naman ang experience namin.,Neutral
Hall Rental,15833,"Acceptable quality, sakto lang ang karanasan.",Neutral
Room,9840,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,3016,The water was cloudy and the area was messy.,Negative
Room,8340,"Standard amenities, fine experience for the price.",Neutral
Entrance,27556,Walang kupas ang ganda ng pool area.,Positive
Entrance,10953,Good location but service was just standard.,Neutral
Room,27281,"Everything was superb, clean, and well-maintained.",Positive
Room,12266,"Standard amenities, fine experience for the price.",Neutral
Entrance,19873,Walang kupas ang ganda ng pool area.,Positive
Room,22154,Sulit na sulit ang booking namin.,Positive
Hall Rental,15891,"The room was decent and normal, nothing special.",Neutral
Event,12869,"The room was decent and normal, nothing special.",Neutral
Reservation,8139,Good location but service was just standard.,Neutral
Entrance,8587,Madumi yung area nung dumating kami.,Negative
Hall Rental,26921,Sulit na sulit ang booking namin.,Positive
Hall Rental,27757,Great value for money and a relaxing vibe.,Positive
Event,25147,"Beautiful view and very friendly, helpful staff.",Positive
Event,3129,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,15299,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,3144,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,11558,"Acceptable quality, sakto lang ang karanasan.",Neutral
Event,16016,Good location but service was just standard.,Neutral
Reservation,24576,Sulit na sulit ang booking namin.,Positive
Event,6815,Rude staff and very slow service at reception.,Negative
Reservation,29681,Walang kupas ang ganda ng pool area.,Positive
Event,22206,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,6032,"Terrible and awful experience, would not go back.",Negative
Room,22151,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,12068,"It was an okay stay, average service overall.",Neutral
Event,11807,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,5367,"Terrible and awful experience, would not go back.",Negative
Room,2746,"Terrible and awful experience, would not go back.",Negative
Hall Rental,7694,"Disappointing stay, a total waste of money.",Negative
Entrance,10789,"It was an okay stay, average service overall.",Neutral
Reservation,12912,The facilities are fine but could be better.,Neutral
Room,11180,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,4321,"Terrible and awful experience, would not go back.",Negative
Event,11512,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,2924,Madumi yung area nung dumating kami.,Negative
Hall Rental,3032,The water was cloudy and the area was messy.,Negative
Entrance,9849,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,4060,Madumi yung area nung dumating kami.,Negative
Hall Rental,9903,Hindi kami nasiyahan sa aming stay dito.,Negative
Entrance,29451,Great value for money and a relaxing vibe.,Positive
Hall Rental,8869,Madumi yung area nung dumating kami.,Negative
Hall Rental,13442,Medyo okay naman ang experience namin.,Neutral
Entrance,7841,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,18432,Mabait at magalang ang mga staff dito.,Positive
Hall Rental,17944,Medyo okay naman ang experience namin.,Neutral
Entrance,27173,Great value for money and a relaxing vibe.,Positive
Room,17160,Mabait at magalang ang mga staff dito.,Positive
Reservation,9809,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,3049,Hindi kami nasiyahan sa aming stay dito.,Negative
Room,6977,Rude staff and very slow service at reception.,Negative
Room,14218,"The room was decent and normal, nothing special.",Neutral
Event,16382,Great value for money and a relaxing vibe.,Positive
Room,17170,"It was an okay stay, average service overall.",Neutral
Hall Rental,16667,"The room was decent and normal, nothing special.",Neutral
Event,12134,"Standard amenities, fine experience for the price.",Neutral
Reservation,15347,"It was an okay stay, average service overall.",Neutral
Room,12072,Medyo okay naman ang experience namin.,Neutral
Reservation,11354,"The room was decent and normal, nothing special.",Neutral
Hall Rental,2610,The water was cloudy and the area was messy.,Negative
Entrance,22638,"Excellent facility, highly recommend to everyone!",Positive
Room,21090,Walang kupas ang ganda ng pool area.,Positive
Reservation,28544,The service was perfect and absolutely amazing.,Positive
Event,28689,Mabait at magalang ang mga staff dito.,Positive
Reservation,15984,Good location but service was just standard.,Neutral
Room,10237,Good location but service was just standard.,Neutral
Event,2460,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,15611,"Standard amenities, fine experience for the price.",Neutral
Entrance,23714,"Excellent facility, highly recommend to everyone!",Positive
Room,13983,The facilities are fine but could be better.,Neutral
Room,16933,"Everything was superb, clean, and well-maintained.",Positive
Entrance,28067,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,11935,"It was an okay stay, average service overall.",Neutral
Entrance,28515,Great value for money and a relaxing vibe.,Positive
Reservation,18420,Walang kupas ang ganda ng pool area.,Positive
Event,11882,The facilities are fine but could be better.,Neutral
Entrance,9509,"Disappointing stay, a total waste of money.",Negative
Entrance,11551,"The room was decent and normal, nothing special.",Neutral
Reservation,5533,Madumi yung area nung dumating kami.,Negative
Reservation,19197,"Everything was superb, clean, and well-maintained.",Positive
Event,13102,The facilities are fine but could be better.,Neutral
Hall Rental,8234,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,3590,The water was cloudy and the area was messy.,Negative
Reservation,6510,The water was cloudy and the area was messy.,Negative
Reservation,25445,Mabait at magalang ang mga staff dito.,Positive
Event,16435,Sulit na sulit ang booking namin.,Positive
Event,3329,"Disappointing stay, a total waste of money.",Negative
Event,9653,Rude staff and very slow service at reception.,Negative
Entrance,16028,The service was perfect and absolutely amazing.,Positive
Entrance,23433,Mabait at magalang ang mga staff dito.,Positive
Reservation,3370,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,18537,Great value for money and a relaxing vibe.,Positive
Reservation,5515,Rude staff and very slow service at reception.,Negative
Room,15148,The facilities are fine but could be better.,Neutral
Event,20946,Walang kupas ang ganda ng pool area.,Positive
Event,9863,The facilities are fine but could be better.,Neutral
Entrance,9130,Good location but service was just standard.,Neutral
Reservation,2317,Madumi yung area nung dumating kami.,Negative
Reservation,17359,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,24776,Great value for money and a relaxing vibe.,Positive
Hall Rental,8368,Madumi yung area nung dumating kami.,Negative
Event,5553,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,11802,Hindi gaanong special pero okay naman yung stay.,Neutral
Reservation,17604,"Beautiful view and very friendly, helpful staff.",Positive
Reservation,8795,Madumi yung area nung dumating kami.,Negative
Event,2615,"Disappointing stay, a total waste of money.",Negative
Hall Rental,3753,Madumi yung area nung dumating kami.,Negative
Event,18610,Walang kupas ang ganda ng pool area.,Positive
Event,16588,"Standard amenities, fine experience for the price.",Neutral
Event,13626,Medyo okay naman ang experience namin.,Neutral
Room,2904,Madumi yung area nung dumating kami.,Negative
Room,10017,"Acceptable quality, sakto lang ang karanasan.",Neutral
Hall Rental,8887,Good location but service was just standard.,Neutral
Reservation,2240,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,6658,"Terrible and awful experience, would not go back.",Negative
Reservation,11236,Hindi gaanong special pero okay naman yung stay.,Neutral
Hall Rental,23378,The service was perfect and absolutely amazing.,Positive
Event,9837,The water was cloudy and the area was messy.,Negative
Entrance,2507,"Disappointing stay, a total waste of money.",Negative
Hall Rental,22970,Sulit na sulit ang booking namin.,Positive
Room,4532,Rude staff and very slow service at reception.,Negative
Reservation,5209,"Disappointing stay, a total waste of money.",Negative
Event,20539,The service was perfect and absolutely amazing.,Positive
Room,8589,The facilities are fine but could be better.,Neutral
Reservation,27249,"Excellent facility, highly recommend to everyone!",Positive
Event,19547,Walang kupas ang ganda ng pool area.,Positive
Entrance,23044,The service was perfect and absolutely amazing.,Positive
Hall Rental,19142,Mabait at magalang ang mga staff dito.,Positive
Reservation,11867,Good location but service was just standard.,Neutral
Reservation,6815,Hindi kami nasiyahan sa aming stay dito.,Negative
Reservation,7198,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,5446,"Dirty rooms, broken aircon, and bad smell.",Negative
Room,20887,"Everything was superb, clean, and well-maintained.",Positive
Entrance,3152,Rude staff and very slow service at reception.,Negative
Room,9987,"Dirty rooms, broken aircon, and bad smell.",Negative
Entrance,29736,Mabait at magalang ang mga staff dito.,Positive
Room,20693,Sulit na sulit ang booking namin.,Positive
Entrance,17393,"Everything was superb, clean, and well-maintained.",Positive
Entrance,7730,"Dirty rooms, broken aircon, and bad smell.",Negative
Event,9846,"Acceptable quality, sakto lang ang karanasan.",Neutral
Reservation,4810,Mabagal ang serbisyo at medyo disappointing.,Negative
Hall Rental,7311,"Terrible and awful experience, would not go back.",Negative
Reservation,19670,Sulit na sulit ang booking namin.,Positive
Hall Rental,11489,"It was an okay stay, average service overall.",Neutral
Hall Rental,4209,"Disappointing stay, a total waste of money.",Negative
Hall Rental,6366,Mabagal ang serbisyo at medyo disappointing.,Negative
Entrance,19188,"Beautiful view and very friendly, helpful staff.",Positive
Event,15547,"Standard amenities, fine experience for the price.",Neutral
Room,12579,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,2920,"Dirty rooms, broken aircon, and bad smell.",Negative
Reservation,28774,The service was perfect and absolutely amazing.,Positive
Room,13906,Medyo okay naman ang experience namin.,Neutral
Room,7417,Rude staff and very slow service at reception.,Negative
Reservation,18712,"Beautiful view and very friendly, helpful staff.",Positive
Entrance,8923,"Acceptable quality, sakto lang ang karanasan.",Neutral
Entrance,28542,The service was perfect and absolutely amazing.,Positive
Room,17959,Hindi gaanong special pero okay naman yung stay.,Neutral
Room,17021,Medyo okay naman ang experience namin.,Neutral
Event,9186,Medyo okay naman ang experience namin.,Neutral
Hall Rental,11823,"Standard amenities, fine experience for the price.",Neutral
Reservation,24017,Great value for money and a relaxing vibe.,Positive
Event,3366,Mabagal ang serbisyo at medyo disappointing.,Negative
Reservation,9104,Madumi yung area nung dumating kami.,Negative
Event,15616,"It was an okay stay, average service overall.",Neutral
Event,14711,Good location but service was just standard.,Neutral
Event,14686,Medyo okay naman ang experience namin.,Neutral
Reservation,20136,Walang kupas ang ganda ng pool area.,Positive
Hall Rental,25227,The service was perfect and absolutely amazing.,Positive
Event,4718,Rude staff and very slow service at reception.,Negative
Room,8677,The water was cloudy and the area was messy.,Negative
Room,27972,"Everything was superb, clean, and well-maintained.",Positive
Hall Rental,13162,Hindi gaanong special pero okay naman yung stay.,Neutral
Entrance,5597,Madumi yung area nung dumating kami.,Negative
