Date,Facilities,Sentiment,Guest_Count,Amount
2024-01-01,Hall Rental,Negative,55,16305.27
2024-01-02,Reservation,Negative,104,19928.26
2024-01-03,Entrance,Positive,108,20183.1
2024-01-04,Hall Rental,Positive,125,29758.15
2024-01-05,Hall Rental,Neutral,76,21302.18
2024-01-06,Reservation,Positive,137,26646.94
2024-01-07,Entrance,Negative,27,5407.75
2024-01-08,Entrance,Negative,34,5539.12
2024-01-09,Hall Rental,Positive,63,20409.94
2024-01-10,Event,Negative,67,23291.39
2024-01-11,Hall Rental,Negative,76,19408.36
2024-01-12,Hall Rental,Positive,113,28549.74
2024-01-13,Hall Rental,Positive,33,15533.07
2024-01-14,Hall Rental,Negative,123,28495.39
2024-01-15,Reservation,Negative,41,11094.13
2024-01-16,Entrance,Negative,95,15285.27
2024-01-17,Reservation,Neutral,136,25684.14
2024-01-18,Reservation,Neutral,139,25959.01
2024-01-19,Reservation,Neutral,26,8236.77
2024-01-20,Hall Rental,Positive,113,27803.91
2024-01-21,Event,Neutral,146,37351.87
2024-01-22,Entrance,Positive,52,10102.55
2024-01-23,Event,Positive,48,22865.97
2024-01-24,Reservation,Neutral,35,10809.17
2024-01-25,Reservation,Neutral,108,22017.35
2024-01-26,Event,Neutral,59,23511.59
2024-01-27,Event,Negative,22,15857.89
2024-01-28,Event,Neutral,69,25075.79
2024-01-29,Reservation,Negative,144,26045.37
2024-01-30,Reservation,Positive,66,15000.4
2024-01-31,Entrance,Negative,45,8003.71
2024-02-01,Entrance,Neutral,29,6072.95
2024-02-02,Reservation,Positive,74,18149.41
2024-02-03,Event,Positive,17,17491.83
2024-02-04,Event,Positive,124,34242.8
2024-02-05,Entrance,Negative,101,16849.59
2024-02-06,Reservation,Neutral,107,21451.3
2024-02-07,Entrance,Positive,75,14573.08
2024-02-08,Entrance,Positive,41,9776.79
2024-02-09,Hall Rental,Positive,95,24691.84
2024-02-10,Hall Rental,Negative,60,17449.09
2024-02-11,Hall Rental,Negative,72,19176.44
2024-02-12,Event,Neutral,134,35488.38
2024-02-13,Reservation,Negative,67,14034.15
2024-02-14,Reservation,Positive,67,16313.36
2024-02-15,Reservation,Neutral,95,19424.7
2024-02-16,Reservation,Positive,58,14835.91
2024-02-17,Hall Rental,Positive,79,22376.29
2024-02-18,Event,Negative,24,16951.36
2024-02-19,Event,Neutral,63,23244.57
2024-02-20,Hall Rental,Negative,110,24873.77
2024-02-21,Event,Negative,17,15355.79
2024-02-22,Hall Rental,Neutral,62,18710.88
2024-02-23,Reservation,Positive,69,16026.08
2024-02-24,Hall Rental,Positive,117,28473.31
2024-02-25,Reservation,Neutral,14,6339.94
